testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1183.2818446542237
1265.43,2011-12-27,1265.43,1244.6218308884218
1249.64,2011-12-28,1249.64,1264.6840984213427
1263.02,2011-12-29,1263.02,1259.0957727223183
1257.6,2011-12-30,1257.6,1270.9606087641819
1277.06,2012-01-03,1277.06,1273.7658791310264
1277.3,2012-01-04,1277.3,1284.9348778997453
1281.06,2012-01-05,1281.06,1291.6054911833207
1277.81,2012-01-06,1277.81,1291.4356772998149
1280.7,2012-01-09,1280.7,1287.984944782757
1292.08,2012-01-10,1292.08,1295.725156786428
1292.48,2012-01-11,1292.48,1304.5920343666328
1295.5,2012-01-12,1295.5,1297.8068231013092
1289.09,2012-01-13,1289.09,1302.1503095891876
1293.67,2012-01-17,1293.67,1303.0999588988946
1308.04,2012-01-18,1308.04,1304.202101533516
1314.5,2012-01-19,1314.5,1312.5530252609674
1315.38,2012-01-20,1315.38,1325.2004559365857
1316.0,2012-01-23,1316.0,1327.595202722332
1314.65,2012-01-24,1314.65,1325.3644512261274
1326.05,2012-01-25,1326.05,1322.9739504289373
1318.43,2012-01-26,1318.43,1339.2988972462408
1316.33,2012-01-27,1316.33,1325.0684471201632
1313.01,2012-01-30,1313.01,1321.4860763657098
1312.41,2012-01-31,1312.41,1324.2213635656208
1324.09,2012-02-01,1324.09,1319.3959038362177
1325.54,2012-02-02,1325.54,1328.3428365996483
1344.9,2012-02-03,1344.9,1334.9212929154844
1344.33,2012-02-06,1344.33,1349.0899153651185
1347.05,2012-02-07,1347.05,1348.087418889536
1349.96,2012-02-08,1349.96,1350.7652126503701
1351.95,2012-02-09,1351.95,1360.3821082200511
1342.64,2012-02-10,1342.64,1361.4883015718603
1351.77,2012-02-13,1351.77,1349.2916983781556
1350.5,2012-02-14,1350.5,1354.1502618873878
1343.23,2012-02-15,1343.23,1361.856976889273
1358.04,2012-02-16,1358.04,1347.5232669789923
1361.23,2012-02-17,1361.23,1360.75200955575
1362.21,2012-02-21,1362.21,1361.9088778924884
1357.66,2012-02-22,1357.66,1369.0935605784857
1363.46,2012-02-23,1363.46,1359.9121340050933
1365.74,2012-02-24,1365.74,1367.9217764450523
1367.59,2012-02-27,1367.59,1366.976772884418
1372.18,2012-02-28,1372.18,1375.1070459290197
1365.68,2012-02-29,1365.68,1373.2766521935132
1374.09,2012-03-01,1374.09,1371.044209258724
1369.63,2012-03-02,1369.63,1382.1238164963902
1364.33,2012-03-05,1364.33,1379.943672567069
1343.36,2012-03-06,1343.36,1363.9522103007798
1352.63,2012-03-07,1352.63,1353.937241227996
1365.91,2012-03-08,1365.91,1353.5435121762864
1370.87,2012-03-09,1370.87,1365.26385868056
1371.09,2012-03-12,1371.09,1366.3748058020517
1395.95,2012-03-13,1395.95,1377.4235593814738
1394.28,2012-03-14,1394.28,1397.2726772423664
1402.6,2012-03-15,1402.6,1395.7094459662048
1404.17,2012-03-16,1404.17,1403.512398132189
1409.75,2012-03-19,1409.75,1404.823455041926
1405.52,2012-03-20,1405.52,1420.428299954905
1402.89,2012-03-21,1402.89,1404.079401538682
1392.78,2012-03-22,1392.78,1408.764349286593
1397.11,2012-03-23,1397.11,1394.735376064847
1416.51,2012-03-26,1416.51,1393.8190659704
1412.52,2012-03-27,1412.52,1419.8900232988183
1405.54,2012-03-28,1405.54,1411.1250017190491
1403.28,2012-03-29,1403.28,1409.215214097913
1408.47,2012-03-30,1408.47,1409.372368668763
1419.04,2012-04-02,1419.04,1414.8333287731723
1413.38,2012-04-03,1413.38,1418.9670520208385
1398.96,2012-04-04,1398.96,1419.7363034929967
1398.08,2012-04-05,1398.08,1397.7376627065764
1382.2,2012-04-09,1382.2,1406.0884969246918
1358.59,2012-04-10,1358.59,1389.2934941658182
1368.71,2012-04-11,1368.71,1362.555044547027
1387.57,2012-04-12,1387.57,1368.1076013200254
1370.26,2012-04-13,1370.26,1384.9986005888813
1369.57,2012-04-16,1369.57,1367.876924943638
1390.78,2012-04-17,1390.78,1371.5558796928947
