testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1221.0688124856229
1265.43,2011-12-27,1265.43,1238.5506040538626
1249.64,2011-12-28,1249.64,1261.3108531644627
1263.02,2011-12-29,1263.02,1255.959564755511
1257.6,2011-12-30,1257.6,1270.7343086535636
1277.06,2012-01-03,1277.06,1259.0593341614458
1277.3,2012-01-04,1277.3,1283.8174620944314
1281.06,2012-01-05,1281.06,1280.3370064322087
1277.81,2012-01-06,1277.81,1285.6532908283975
1280.7,2012-01-09,1280.7,1290.015903382561
1292.08,2012-01-10,1292.08,1285.2376633787655
1292.48,2012-01-11,1292.48,1296.4808239940298
1295.5,2012-01-12,1295.5,1294.623414992016
1289.09,2012-01-13,1289.09,1302.4059741944156
1293.67,2012-01-17,1293.67,1300.8524769816956
1308.04,2012-01-18,1308.04,1303.500811181932
1314.5,2012-01-19,1314.5,1312.8225657500197
1315.38,2012-01-20,1315.38,1320.733652290863
1316.0,2012-01-23,1316.0,1321.9899849837213
1314.65,2012-01-24,1314.65,1323.1547757225942
1326.05,2012-01-25,1326.05,1317.3321936481743
1318.43,2012-01-26,1318.43,1334.712837434005
1316.33,2012-01-27,1316.33,1327.177875859735
1313.01,2012-01-30,1313.01,1319.779463354412
1312.41,2012-01-31,1312.41,1322.8060382121284
1324.09,2012-02-01,1324.09,1314.261701325873
1325.54,2012-02-02,1325.54,1326.9843905820883
1344.9,2012-02-03,1344.9,1330.4547875572785
1344.33,2012-02-06,1344.33,1354.6246185333507
1347.05,2012-02-07,1347.05,1342.8441651843364
1349.96,2012-02-08,1349.96,1353.5817326470587
1351.95,2012-02-09,1351.95,1355.9221125739562
1342.64,2012-02-10,1342.64,1361.2241707275496
1351.77,2012-02-13,1351.77,1344.3591155951099
1350.5,2012-02-14,1350.5,1356.8564961550242
1343.23,2012-02-15,1343.23,1353.4591120598648
1358.04,2012-02-16,1358.04,1342.2608160819861
1361.23,2012-02-17,1361.23,1365.4235662593583
1362.21,2012-02-21,1362.21,1365.5650285176475
1357.66,2012-02-22,1357.66,1366.9656429741513
1363.46,2012-02-23,1363.46,1355.4946759428994
1365.74,2012-02-24,1365.74,1372.753811228376
1367.59,2012-02-27,1367.59,1367.625135400754
1372.18,2012-02-28,1372.18,1366.3682981805593
1365.68,2012-02-29,1365.68,1379.983982049255
1374.09,2012-03-01,1374.09,1372.8627460416233
1369.63,2012-03-02,1369.63,1369.2995335063533
1364.33,2012-03-05,1364.33,1384.106733327774
1343.36,2012-03-06,1343.36,1364.628231765248
1352.63,2012-03-07,1352.63,1346.1078872252654
1365.91,2012-03-08,1365.91,1352.6322409159377
1370.87,2012-03-09,1370.87,1369.2408809705646
1371.09,2012-03-12,1371.09,1371.829527252624
1395.95,2012-03-13,1395.95,1377.0555250130092
1394.28,2012-03-14,1394.28,1388.079484029866
1402.6,2012-03-15,1402.6,1399.0504144197666
1404.17,2012-03-16,1404.17,1405.9007932332574
1409.75,2012-03-19,1409.75,1411.1071035057803
1405.52,2012-03-20,1405.52,1407.7192870946606
1402.89,2012-03-21,1402.89,1407.8947786143758
1392.78,2012-03-22,1392.78,1405.7974007164087
1397.11,2012-03-23,1397.11,1400.3909179162865
1416.51,2012-03-26,1416.51,1388.6953985051362
1412.52,2012-03-27,1412.52,1419.8808844154778
1405.54,2012-03-28,1405.54,1412.9259400551477
1403.28,2012-03-29,1403.28,1406.581444548429
1408.47,2012-03-30,1408.47,1404.9431238891875
1419.04,2012-04-02,1419.04,1419.4490231714933
1413.38,2012-04-03,1413.38,1420.3703344100245
1398.96,2012-04-04,1398.96,1417.0149999507398
1398.08,2012-04-05,1398.08,1401.7257115299922
1382.2,2012-04-09,1382.2,1401.374312792802
1358.59,2012-04-10,1358.59,1385.920761272177
1368.71,2012-04-11,1368.71,1356.2252553636145
1387.57,2012-04-12,1387.57,1375.4761720741365
1370.26,2012-04-13,1370.26,1379.9041709518358
1369.57,2012-04-16,1369.57,1376.2957368566767
1390.78,2012-04-17,1390.78,1371.563158645351
1385.14,2012-04-18,1385.14,1380.2231816992896
1376.92,2012-04-19,1376.92,1382.1356108991304
1378.53,2012-04-20,1378.53,1375.1033571626795
1366.94,2012-04-23,1366.94,1386.3825932267
1371.97,2012-04-24,1371.97,1361.9667713257243
1390.69,2012-04-25,1390.69,1370.2548027132718
1399.98,2012-04-26,1399.98,1394.400881300403
1403.36,2012-04-27,1403.36,1395.208412123562
1397.91,2012-04-30,1397.91,1402.8888146140976
1405.82,2012-05-01,1405.82,1399.207524010954
1402.31,2012-05-02,1402.31,1409.0099059529687
1391.57,2012-05-03,1391.57,1404.7066179859485
1369.1,2012-05-04,1369.1,1390.8792681742693
1369.58,2012-05-07,1369.58,1370.2145386294396
1363.72,2012-05-08,1363.72,1367.5126589137549
1354.58,2012-05-09,1354.58,1359.3521748520207
1357.99,2012-05-10,1357.99,1360.4314975210987
1353.39,2012-05-11,1353.39,1349.1988211084356
1338.35,2012-05-14,1338.35,1357.8102641768864
1330.66,2012-05-15,1330.66,1341.6776862745553
1324.8,2012-05-16,1324.8,1339.5653189807101
1304.86,2012-05-17,1304.86,1317.6598356223276
1295.22,2012-05-18,1295.22,1306.6187656206444
1315.99,2012-05-21,1315.99,1293.2782833661136
1316.63,2012-05-22,1316.63,1309.9992622986342
1318.86,2012-05-23,1318.86,1316.243824638398
1320.68,2012-05-24,1320.68,1322.165650737223
1317.82,2012-05-25,1317.82,1304.0239955786647
1332.42,2012-05-29,1332.42,1320.855692084806
1313.32,2012-05-30,1313.32,1335.6211114781581
1310.33,2012-05-31,1310.33,1309.5270331670608
1278.04,2012-06-01,1278.04,1290.8925651087359
1278.18,2012-06-04,1278.18,1283.4850244645531
1285.5,2012-06-05,1285.5,1272.4430281961886
1315.13,2012-06-06,1315.13,1295.4002907167123
1314.99,2012-06-07,1314.99,1317.500612515879
1325.66,2012-06-08,1325.66,1303.4770762880203
1308.93,2012-06-11,1308.93,1318.977756814958
1324.18,2012-06-12,1324.18,1311.7476208281514
1314.88,2012-06-13,1314.88,1327.0403652337563
1329.1,2012-06-14,1329.1,1314.5398700171413
1342.84,2012-06-15,1342.84,1317.258926850294
1344.78,2012-06-18,1344.78,1358.535881142251
1357.98,2012-06-19,1357.98,1340.5334906601706
1355.69,2012-06-20,1355.69,1347.0986903911873
1325.51,2012-06-21,1325.51,1360.1001102841328
1335.02,2012-06-22,1335.02,1329.9527434158176
1313.72,2012-06-25,1313.72,1327.1221376182725
1319.99,2012-06-26,1319.99,1320.968317040978
1331.85,2012-06-27,1331.85,1305.1356187585443
1329.04,2012-06-28,1329.04,1335.785522478474
1362.16,2012-06-29,1362.16,1348.6859783810896
1365.51,2012-07-02,1365.51,1343.8316932843636
1374.02,2012-07-03,1374.02,1352.302550849407
1367.58,2012-07-05,1367.58,1385.9514780985344
1354.68,2012-07-06,1354.68,1369.7171552657087
1352.46,2012-07-09,1352.46,1361.4036534426368
1341.47,2012-07-10,1341.47,1344.1265128748778
1341.45,2012-07-11,1341.45,1333.1215799061843
1334.76,2012-07-12,1334.76,1350.7656145054211
1356.78,2012-07-13,1356.78,1331.2185634620914
1353.64,2012-07-16,1353.64,1357.6208854021852
1363.67,2012-07-17,1363.67,1367.9329924010815
1372.78,2012-07-18,1372.78,1359.6693969732228
1376.51,2012-07-19,1376.51,1377.9170200112562
1362.66,2012-07-20,1362.66,1374.2053098333276
1350.52,2012-07-23,1350.52,1359.1779818524774
1338.31,2012-07-24,1338.31,1359.4170603996163
1337.89,2012-07-25,1337.89,1326.3778322392523
1360.02,2012-07-26,1360.02,1333.0454258645418
1385.97,2012-07-27,1385.97,1363.07094805396
1385.3,2012-07-30,1385.3,1388.9323575798005
1379.32,2012-07-31,1379.32,1386.5734540740466
1375.14,2012-08-01,1375.14,1382.379500323911
1365.0,2012-08-02,1365.0,1391.9612548171388
1390.99,2012-08-03,1390.99,1358.8946179124173
1394.23,2012-08-06,1394.23,1392.5503874970705
1401.35,2012-08-07,1401.35,1399.7675561790468
1402.22,2012-08-08,1402.22,1396.1737057409168
1402.8,2012-08-09,1402.8,1400.704313694037
1405.87,2012-08-10,1405.87,1415.2345363142433
1404.11,2012-08-13,1404.11,1411.4272055251163
1403.93,2012-08-14,1403.93,1406.4453822025841
1405.53,2012-08-15,1405.53,1407.4121585065
1415.51,2012-08-16,1415.51,1408.3197389261559
1418.16,2012-08-17,1418.16,1403.4644544300036
1418.13,2012-08-20,1418.13,1431.928342659378
1413.17,2012-08-21,1413.17,1422.6325803209115
1413.49,2012-08-22,1413.49,1409.4685345301662
1402.08,2012-08-23,1402.08,1417.9691705229266
1411.13,2012-08-24,1411.13,1403.912369811233
1410.44,2012-08-27,1410.44,1408.1654903096069
1409.3,2012-08-28,1409.3,1412.9858882332824
1410.49,2012-08-29,1410.49,1407.758144616965
1399.48,2012-08-30,1399.48,1409.7201319729647
1406.58,2012-08-31,1406.58,1397.1466311526517
1404.94,2012-09-04,1404.94,1405.4148721588867
1403.44,2012-09-05,1403.44,1397.8762033478913
1432.12,2012-09-06,1432.12,1400.828826966674
1437.92,2012-09-07,1437.92,1432.9646588165065
1429.08,2012-09-10,1429.08,1439.6587212260993
1433.56,2012-09-11,1433.56,1433.0609953302087
1436.56,2012-09-12,1436.56,1425.7153652137376
1459.99,2012-09-13,1459.99,1449.0676183323044
1465.77,2012-09-14,1465.77,1462.6908297238701
1461.19,2012-09-17,1461.19,1468.8656529122534
1459.32,2012-09-18,1459.32,1463.1463179484317
1461.05,2012-09-19,1461.05,1463.0780937146417
1460.26,2012-09-20,1460.26,1460.9706082417108
1460.15,2012-09-21,1460.15,1468.6994900964582
1456.89,2012-09-24,1456.89,1456.3687380153242
1441.59,2012-09-25,1441.59,1465.9068350534067
1433.32,2012-09-26,1433.32,1439.814197099006
1447.15,2012-09-27,1447.15,1438.268725258136
1440.67,2012-09-28,1440.67,1447.4320381383523
1444.49,2012-10-01,1444.49,1442.4443195295905
1445.75,2012-10-02,1445.75,1447.404488168575
1450.99,2012-10-03,1450.99,1451.483064919249
1461.4,2012-10-04,1461.4,1444.6080656009897
1460.93,2012-10-05,1460.93,1468.3343157684703
1455.88,2012-10-08,1455.88,1463.5666919161742
1441.48,2012-10-09,1441.48,1460.3344468445534
1432.56,2012-10-10,1432.56,1441.8676985121106
1432.84,2012-10-11,1432.84,1435.6735004101763
1428.59,2012-10-12,1428.59,1432.9760728485558
1440.13,2012-10-15,1440.13,1424.4449723333614
1454.92,2012-10-16,1454.92,1436.7219555684437
1460.91,2012-10-17,1460.91,1456.6615525648358
1457.34,2012-10-18,1457.34,1464.9867539953025
1433.19,2012-10-19,1433.19,1459.106570739226
1433.82,2012-10-22,1433.82,1440.8239300046282
1413.11,2012-10-23,1413.11,1441.2243557057998
1408.75,2012-10-24,1408.75,1410.9652505006247
1412.97,2012-10-25,1412.97,1398.8187902729585
1411.94,2012-10-26,1411.94,1413.6610485873732
1412.16,2012-10-31,1412.16,1410.847916159637
1427.59,2012-11-01,1427.59,1414.146086350896
1414.2,2012-11-02,1414.2,1424.1283308934846
1417.26,2012-11-05,1417.26,1417.9192022429934
1428.39,2012-11-06,1428.39,1414.6785556076074
1394.53,2012-11-07,1394.53,1423.3597241281857
1377.51,2012-11-08,1377.51,1396.5473099471837
1379.85,2012-11-09,1379.85,1377.4380031396236
1380.03,2012-11-12,1380.03,1375.388938694765
1374.53,2012-11-13,1374.53,1375.5675250662412
1355.49,2012-11-14,1355.49,1370.6139738283464
1353.33,2012-11-15,1353.33,1350.3762280048445
1359.88,2012-11-16,1359.88,1361.7633554325917
1386.89,2012-11-19,1386.89,1364.1631909334565
1387.81,2012-11-20,1387.81,1377.8411301747265
1391.03,2012-11-21,1391.03,1387.3598903667012
1409.15,2012-11-23,1409.15,1392.710040921861
1406.29,2012-11-26,1406.29,1411.7602924394535
1398.94,2012-11-27,1398.94,1400.1506655733065
1409.93,2012-11-28,1409.93,1405.9562923451958
1415.95,2012-11-29,1415.95,1404.9476984441876
1416.18,2012-11-30,1416.18,1412.5547588405693
1409.46,2012-12-03,1409.46,1415.5424917758949
1407.05,2012-12-04,1407.05,1410.5911073828556
1409.28,2012-12-05,1409.28,1405.6442299414934
1413.94,2012-12-06,1413.94,1404.2874074002339
1418.07,2012-12-07,1418.07,1421.6809220208208
1418.55,2012-12-10,1418.55,1410.5430940589072
1427.84,2012-12-11,1427.84,1419.3974617303652
1428.48,2012-12-12,1428.48,1427.9380749849115
1419.45,2012-12-13,1419.45,1425.8211555502978
1413.58,2012-12-14,1413.58,1419.0994071317832
1430.36,2012-12-17,1430.36,1418.9482304386318
1446.79,2012-12-18,1446.79,1430.9371148379296
1435.81,2012-12-19,1435.81,1448.1313512768243
1443.69,2012-12-20,1443.69,1436.6847337817817
1430.15,2012-12-21,1430.15,1438.6111238972767
1426.66,2012-12-24,1426.66,1426.9802692048606
1419.83,2012-12-26,1419.83,1428.473442367116
1418.1,2012-12-27,1418.1,1426.4661953662699
1402.43,2012-12-28,1402.43,1423.2770740473804
1426.19,2012-12-31,1426.19,1401.536232728566
1462.42,2013-01-02,1462.42,1430.197255093155
1459.37,2013-01-03,1459.37,1466.00357006158
1466.47,2013-01-04,1466.47,1461.8732023032276
1461.89,2013-01-07,1461.89,1458.5047438746246
1457.15,2013-01-08,1457.15,1471.2905743640322
1461.02,2013-01-09,1461.02,1460.2171668890455
1472.12,2013-01-10,1472.12,1466.1504756757065
1472.05,2013-01-11,1472.05,1475.3543374868545
1470.68,2013-01-14,1470.68,1472.6376478035831
1472.34,2013-01-15,1472.34,1472.278535239207
1472.63,2013-01-16,1472.63,1479.4520315139976
1480.94,2013-01-17,1480.94,1471.1190653846388
1485.98,2013-01-18,1485.98,1481.574504662297
1492.56,2013-01-22,1492.56,1490.1228051949397
1494.81,2013-01-23,1494.81,1495.8034166724997
1494.82,2013-01-24,1494.82,1494.5289665417583
1502.96,2013-01-25,1502.96,1491.6905179024843
1500.18,2013-01-28,1500.18,1512.6781469920552
1507.84,2013-01-29,1507.84,1499.8073959492685
1501.96,2013-01-30,1501.96,1508.8945459609656
1498.11,2013-01-31,1498.11,1503.4734820376823
1513.17,2013-02-01,1513.17,1507.1010811144938
1495.71,2013-02-04,1495.71,1513.0790491292164
1511.29,2013-02-05,1511.29,1500.5687912120325
1512.12,2013-02-06,1512.12,1508.0648134975472
1509.39,2013-02-07,1509.39,1510.4916783601827
1517.93,2013-02-08,1517.93,1512.2744248417068
1517.01,2013-02-11,1517.01,1517.4000959653536
1519.43,2013-02-12,1519.43,1523.8305523290196
1520.33,2013-02-13,1520.33,1522.1290185772737
1521.38,2013-02-14,1521.38,1525.7445775603928
1519.79,2013-02-15,1519.79,1524.2203262665155
1530.94,2013-02-19,1530.94,1523.332796028561
1511.95,2013-02-20,1511.95,1529.760821880268
1502.42,2013-02-21,1502.42,1509.2527819207803
1515.6,2013-02-22,1515.6,1505.054621217631
1487.85,2013-02-25,1487.85,1514.1974888409782
1496.94,2013-02-26,1496.94,1491.7294057960917
1515.99,2013-02-27,1515.99,1496.1607869352606
1514.68,2013-02-28,1514.68,1515.040343378234
1518.2,2013-03-01,1518.2,1519.8829035248814
1525.2,2013-03-04,1525.2,1522.233632847806
1539.79,2013-03-05,1539.79,1518.7619798610394
1541.46,2013-03-06,1541.46,1541.597888682531
1544.26,2013-03-07,1544.26,1543.242925579324
1551.18,2013-03-08,1551.18,1548.7872431023682
1556.22,2013-03-11,1556.22,1553.609686000042
1552.48,2013-03-12,1552.48,1551.49123978192
1554.52,2013-03-13,1554.52,1558.8757985013867
1563.23,2013-03-14,1563.23,1552.778197448175
1560.7,2013-03-15,1560.7,1569.4823269534495
1552.1,2013-03-18,1552.1,1564.7250068746669
1548.34,2013-03-19,1548.34,1561.2453982772006
